id,name,age,city
1,Victoria,22,Samara
2,Arina,42,Moscow
3,Sofia,45,Kazan
4,Irina,23,Samara
5,Polina,20,Samara
6,Victoria,56,St. Petersburg
7,Polina,37,Kazan
8,Sofia,27,Yekaterinburg
9,Polina,59,St. Petersburg
10,Ksenia,26,Yekaterinburg
11,Adelina,34,Chelyabinsk
12,Ksenia,41,St. Petersburg
13,Polina,53,St. Petersburg
14,Sofia,45,Kazan
15,Polina,29,Nizhny Novogorod
16,Arina,26,Chelyabinsk
17,Anastasia,26,Kazan
18,Polina,57,Nizhny Novogorod
19,Elizaveta,52,Chelyabinsk
20,Elizaveta,53,Yekaterinburg
21,Ksenia,57,St. Petersburg
22,Elizaveta,52,Moscow
23,Victoria,27,Samara
24,Sofia,58,Moscow
25,Adelina,18,St. Petersburg
26,Elizaveta,23,Chelyabinsk
27,Anastasia,27,Kazan
28,Ksenia,54,Samara
29,Victoria,47,Yekaterinburg
30,Polina,45,Yekaterinburg
31,Arina,52,Omsk
32,Sofia,55,Samara
33,Arina,55,Chelyabinsk
34,Ksenia,57,Kazan
35,Elena,22,Yekaterinburg
36,Victoria,19,Samara
37,Elena,22,Yekaterinburg
38,Victoria,26,St. Petersburg
39,Irina,39,Yekaterinburg
40,Elizaveta,25,Kazan
41,Arina,60,Nizhny Novogorod
42,Victoria,41,Novosibirsk
43,Elena,48,Nizhny Novogorod
44,Elena,48,Nizhny Novogorod
45,Adelina,27,Omsk
46,Anastasia,19,Kazan
47,Elena,37,Samara
48,Victoria,37,Moscow
49,Victoria,47,St. Petersburg
50,Irina,20,Kazan
51,Adelina,57,Novosibirsk
52,Anastasia,56,Kazan
53,Sofia,37,Rostov-on-Don
54,Elena,54,Yekaterinburg
55,Adelina,48,Yekaterinburg
56,Sofia,58,Chelyabinsk
57,Arina,49,Rostov-on-Don
58,Ksenia,21,Moscow
59,Ksenia,19,Nizhny Novogorod
60,Sofia,37,Rostov-on-Don
61,Victoria,43,St. Petersburg
62,Sofia,57,Rostov-on-Don
63,Elena,56,Novosibirsk
64,Arina,28,Moscow
65,Irina,34,Rostov-on-Don
66,Elena,23,Chelyabinsk
67,Ksenia,38,Moscow
68,Anastasia,38,St. Petersburg
69,Elena,58,St. Petersburg
70,Elena,20,Moscow
71,Anastasia,23,Kazan
72,Ksenia,44,St. Petersburg
73,Irina,52,St. Petersburg
74,Sofia,21,Samara
75,Ksenia,47,Rostov-on-Don
76,Anastasia,46,Yekaterinburg
77,Victoria,32,St. Petersburg
78,Sofia,29,Nizhny Novogorod
79,Adelina,60,Rostov-on-Don
80,Ksenia,56,Omsk
81,Victoria,26,Yekaterinburg
82,Sofia,34,Kazan
83,Anastasia,50,Novosibirsk
84,Irina,24,Rostov-on-Don
85,Elena,45,Chelyabinsk
86,Elizaveta,36,Chelyabinsk
87,Elizaveta,26,Chelyabinsk
88,Ksenia,46,Chelyabinsk
89,Anastasia,48,Rostov-on-Don
90,Sofia,35,Moscow
91,Ksenia,27,Rostov-on-Don
92,Polina,32,St. Petersburg
93,Elena,48,St. Petersburg
94,Sofia,31,Yekaterinburg
95,Adelina,43,Moscow
96,Adelina,55,St. Petersburg
97,Anastasia,60,Rostov-on-Don
98,Elena,31,Yekaterinburg
99,Elena,41,St. Petersburg
100,Sofia,53,Omsk
